description,category,amount
Sent Rs 2956 to Lauren Dean,Transfer,2956
Spent ₹136 at Pizza Hut,Food,136
Transfer to AXGX54175766535794 NPR 17925,Transfer,17925
Public transport pass NPR 8118,Transportation,8118
groceries bought for Rs 3517,Shopping,3517
Money sent to Thomas Palmer ₹12997,Transfer,12997
Pharmacy purchase NPR 18406,Healthcare,18406
Fuel at Nepal Oil Rs 3122,Transportation,3122
Cleared gas dues Rs 17848,Utilities,17848
books bought for Rs 13415,Shopping,13415
Purchase at Daraz Rs 12321,Shopping,12321
Concert tickets Rs 18212,Entertainment,18212
Pharmacy purchase NPR 11531,Healthcare,11531
Movie tickets at Big Movies NPR 10277,Entertainment,10277
Paid Rs 16467 to Kathmandu University for tuition,Education,16467
Paid Rs 4654 for water bill,Utilities,4654
clothes bought for Rs 13639,Shopping,13639
Concert tickets Rs 5562,Entertainment,5562
Sent Rs 16113 to Aaron Parker,Transfer,16113
Money sent to Robert Rowe ₹19701,Transfer,19701
Purchase at Sastodeal Rs 13967,Shopping,13967
Paid Rs 16852 for gas bill,Utilities,16852
Movie tickets at QFX NPR 14676,Entertainment,14676
Medical bill at Mediciti Rs 8435,Healthcare,8435
Recharged Ncell mobile with NPR 12615,Mobile Topup,12615
Paid Rs 2179 for gas bill,Utilities,2179
Paid Rs 15512 for electricity bill,Utilities,15512
Pharmacy purchase NPR 18150,Healthcare,18150
Movie tickets at QFX NPR 17753,Entertainment,17753
internet bill payment NPR 13857,Utilities,13857
Education payment to Tribhuvan University Rs 7102,Education,7102
Public transport pass NPR 16758,Transportation,16758
Paid NPR 5924 for NTC topup,Mobile Topup,5924
Taxi fare Rs 11084,Transportation,11084
Doctor consultation fee Rs 16789,Healthcare,16789
Purchase at New Road Shop Rs 17193,Shopping,17193
Spent ₹8338 at Pizza Hut,Food,8338
Movie tickets at Big Movies NPR 4162,Entertainment,4162
Pharmacy purchase NPR 7001,Healthcare,7001
books bought for Rs 12521,Shopping,12521
internet bill payment NPR 19271,Utilities,19271
Transfer to TEDW83704166693994 NPR 10356,Transfer,10356
Spent ₹5225 at Roadhouse Cafe,Food,5225
groceries bought for Rs 17005,Shopping,17005
Purchase at Sastodeal Rs 17347,Shopping,17347
Recharged Ncell mobile with NPR 7597,Mobile Topup,7597
Pharmacy purchase NPR 3540,Healthcare,3540
Money sent to Paul Anthony ₹10644,Transfer,10644
YouTube Premium subscription Rs 5611,Entertainment,5611
Paid Rs 17697 for water bill,Utilities,17697
Dining at OR2K Rs 3687,Food,3687
Education payment to Kathmandu University Rs 7694,Education,7694
Concert tickets Rs 3251,Entertainment,3251
Medical bill at Grande Rs 4254,Healthcare,4254
Purchase at New Road Shop Rs 5122,Shopping,5122
Sent Rs 3792 to Laura Fowler,Transfer,3792
YouTube Premium subscription Rs 10433,Entertainment,10433
Online shopping 633,Shopping,633
Paid NPR 4833 for Smart Cell topup,Mobile Topup,4833
Recharged Smart Cell mobile with NPR 1112,Mobile Topup,1112
Taxi fare Rs 16545,Transportation,16545
Cleared electricity dues Rs 8577,Utilities,8577
Dining at Pizza Hut Rs 762,Food,762
Fuel at Sajha Petrol Rs 11365,Transportation,11365
Dining at OR2K Rs 6546,Food,6546
Money sent to Austin Owens ₹3479,Transfer,3479
Pharmacy purchase NPR 3430,Healthcare,3430
Paid Rs 12463 to Whitehouse College for tuition,Education,12463
Mobile recharge for NTC NPR 9308,Mobile Topup,9308
books bought for Rs 3118,Shopping,3118
Netflix subscription Rs 14320,Entertainment,14320
Netflix subscription Rs 15403,Entertainment,15403
Taxi fare Rs 903,Transportation,903
Mobile recharge for NTC NPR 18890,Mobile Topup,18890
Pharmacy purchase NPR 15688,Healthcare,15688
Cleared electricity dues Rs 7818,Utilities,7818
Taxi fare Rs 19554,Transportation,19554
Cleared internet dues Rs 18319,Utilities,18319
Movie tickets at QFX NPR 10848,Entertainment,10848
Paid NPR 14274 for NTC topup,Mobile Topup,14274
Transfer to INAS63930053339188 NPR 9679,Transfer,9679
Medical bill at Grande Rs 14314,Healthcare,14314
Paid Rs 7738 to Whitehouse College for tuition,Education,7738
Movie tickets at FCube NPR 6521,Entertainment,6521
Online shopping 11020,Shopping,11020
Purchase at Sastodeal Rs 6404,Shopping,6404
Money sent to Douglas Hall ₹11031,Transfer,11031
Netflix subscription Rs 3096,Entertainment,3096
Paid NPR 4651 for Smart Cell topup,Mobile Topup,4651
Fuel at Shiva Fuel Rs 3336,Transportation,3336
Money sent to Jeffrey Munoz ₹8604,Transfer,8604
Purchase at New Road Shop Rs 2123,Shopping,2123
Recharged NTC mobile with NPR 1026,Mobile Topup,1026
Paid Rs 14318 for electricity bill,Utilities,14318
Concert tickets Rs 12465,Entertainment,12465
Paid Rs 7163 for water bill,Utilities,7163
Pharmacy purchase NPR 444,Healthcare,444
Paid Rs 13575 to Tribhuvan University for tuition,Education,13575
Paid Rs 18408 to Whitehouse College for tuition,Education,18408
Spotify subscription Rs 6823,Entertainment,6823
Transfer to ODDO68523797172772 NPR 11421,Transfer,11421
Spent ₹684 at OR2K,Food,684
Concert tickets Rs 4841,Entertainment,4841
Doctor consultation fee Rs 9573,Healthcare,9573
books bought for Rs 8242,Shopping,8242
Online shopping 2191,Shopping,2191
Food order from OR2K ₹2239,Food,2239
Public transport pass NPR 7034,Transportation,7034
Recharged Ncell mobile with NPR 4396,Mobile Topup,4396
Purchase at Sastodeal Rs 98,Shopping,98
Recharged Ncell mobile with NPR 1934,Mobile Topup,1934
Spent ₹2523 at OR2K,Food,2523
Concert tickets Rs 11587,Entertainment,11587
Transfer to GCTS76664359867195 NPR 16901,Transfer,16901
Public transport pass NPR 12905,Transportation,12905
Purchase at New Road Shop Rs 10129,Shopping,10129
Purchase at Daraz Rs 2939,Shopping,2939
Amazon Prime subscription Rs 5196,Entertainment,5196
Taxi fare Rs 18997,Transportation,18997
Cleared electricity dues Rs 19857,Utilities,19857
Online shopping 18897,Shopping,18897
Cleared internet dues Rs 15153,Utilities,15153
Fuel at Shiva Fuel Rs 1397,Transportation,1397
Education payment to Whitehouse College Rs 4767,Education,4767
Purchase at Sastodeal Rs 14763,Shopping,14763
Paid Rs 18649 for gas bill,Utilities,18649
Spent ₹6365 at KFC,Food,6365
Transfer to IVQC77077640695468 NPR 17541,Transfer,17541
Public transport pass NPR 8767,Transportation,8767
Cleared water dues Rs 2203,Utilities,2203
Recharged NTC mobile with NPR 16304,Mobile Topup,16304
Netflix subscription Rs 19276,Entertainment,19276
Sent Rs 9198 to Jennifer Stewart,Transfer,9198
Pharmacy purchase NPR 18793,Healthcare,18793
Public transport pass NPR 8656,Transportation,8656
Sent 15288 to Whitehouse College for course fees,Education,15288
Food order from OR2K ₹11791,Food,11791
electricity bill payment NPR 19550,Utilities,19550
Pharmacy purchase NPR 19730,Healthcare,19730
Paid Rs 14219 for water bill,Utilities,14219
Pharmacy purchase NPR 3516,Healthcare,3516
Movie tickets at Big Movies NPR 3207,Entertainment,3207
Purchase at New Road Shop Rs 13543,Shopping,13543
Spent ₹6094 at Pizza Hut,Food,6094
Cleared electricity dues Rs 19124,Utilities,19124
Paid Rs 16187 for gas bill,Utilities,16187
Cleared water dues Rs 19558,Utilities,19558
Paid NPR 9743 for Smart Cell topup,Mobile Topup,9743
Doctor consultation fee Rs 11221,Healthcare,11221
Recharged NTC mobile with NPR 8565,Mobile Topup,8565
Concert tickets Rs 11846,Entertainment,11846
Purchase at New Road Shop Rs 17724,Shopping,17724
Sent Rs 791 to Justin Johnson,Transfer,791
Recharged NTC mobile with NPR 6450,Mobile Topup,6450
Purchase at Sastodeal Rs 10394,Shopping,10394
Money sent to Gail Hunter ₹880,Transfer,880
water bill payment NPR 9124,Utilities,9124
Fuel at Nepal Oil Rs 11173,Transportation,11173
Taxi fare Rs 19053,Transportation,19053
Spent ₹6848 at OR2K,Food,6848
Spent ₹5972 at OR2K,Food,5972
Food order from KFC ₹2239,Food,2239
Spent ₹17185 at OR2K,Food,17185
gas bill payment NPR 1133,Utilities,1133
Concert tickets Rs 12431,Entertainment,12431
Netflix subscription Rs 17206,Entertainment,17206
Concert tickets Rs 316,Entertainment,316
Recharged Ncell mobile with NPR 14808,Mobile Topup,14808
Money sent to Kimberly Parrish ₹15147,Transfer,15147
internet bill payment NPR 12181,Utilities,12181
Paid Rs 12171 to Whitehouse College for tuition,Education,12171
Education payment to Tribhuvan University Rs 17995,Education,17995
Money sent to Angela Gould ₹3472,Transfer,3472
Mobile recharge for NTC NPR 16381,Mobile Topup,16381
Pharmacy purchase NPR 8759,Healthcare,8759
Dining at OR2K Rs 19514,Food,19514
Spent ₹15785 at Roadhouse Cafe,Food,15785
Sent Rs 1971 to Natalie Flores,Transfer,1971
electronics bought for Rs 14865,Shopping,14865
Purchase at Daraz Rs 19441,Shopping,19441
Movie tickets at Big Movies NPR 15440,Entertainment,15440
YouTube Premium subscription Rs 19608,Entertainment,19608
Money sent to Russell Parker ₹6812,Transfer,6812
Money sent to Lucas Andrews ₹11318,Transfer,11318
Food order from Roadhouse Cafe ₹15199,Food,15199
Movie tickets at QFX NPR 15884,Entertainment,15884
